1971
1,10,12,13,21,28+24,32
10,14,20,32,36,38+18,29
1,2,7,35,37,40+8,27
1,7,8,18,28,32+13,33
9,14,20,28,32,36+2,31
20,29,31,33,36,38+1,21
7,20,25,26,34,40+2,19
1,13,20,27,32,38+15,39
3,8,14,18,20,23+11,34
10,23,30,31,32,34+18,39
1,2,18,31,34,39+25,27
5,6,10,28,34,35+8,30
3,22,25,26,31,34+35,38
9,15,19,24,35,36+28,38
5,7,10,27,34,38+6,16
12,16,18,26,34,36+35,38
3,21,23,27,29,37+11,18
3,15,17,30,35,38+31,33
1,5,9,12,29,30+10,25
10,17,24,26,33,38+1,9
7,11,12,32,33,39+13,21
5,28,30,31,32,40+19,24
6,26,30,32,34,38+8,14
4,6,13,22,25,34+37,40
4,7,32,34,35,38+20,36
3,6,18,30,31,33+24,34
5,12,22,27,31,37+17,36
3,6,17,34,39,40+15,32
12,16,21,30,32,35+24,33
12,22,27,35,36,40+17,23
1,9,14,23,31,34+18,24
2,6,13,21,28,36+1,31
1,7,13,15,26,29+6,27
2,3,5,13,26,31+21,39
3,17,20,22,34,35+25,31
3,11,15,28,36,38+17,23
4,16,18,20,21,26+17,24
4,8,25,27,34,38+24,39
1,10,11,18,22,36+27,28
1978
7,17,23,30,32,34+22,29
3,9,10,16,37,38+19,34
8,11,27,31,33,37+34,39
1,10,38,30,32,33+17,26
7,17,18,21,33,34+14,16
20,21,24,28,32,35+15,30
5,8,19,27,38,40+18,20
7,13,20,32,37,39+15,26
15,24,31,32,35,40+11,27
8,17,19,26,38,39+24,34
3,12,14,16,25,37+24,36
2,3,31,32,35,36+22,26
1,3,7,29,30,31+11,18
2,3,6,13,27,35+22,29
1,3,14,16,20,35+7,37
2,6,8,13,16,38+25,27
2,14,17,24,26,40+1,36
3,5,7,9,13,37+21,34
1,4,8,10,19,37+9,33
1,10,14,19,21,24+18,20
1,10,14,15,32,37+17,33
13,14,17,33,36+18,30
7,20,24,30,37,40+13,39
4,9,18,21,35,40+6,27
1,6,14,17,18,22+30,32
6,7,1,15,35,36+2,26
2,6,17,27,35,38+31,34
1,7,13,15,30,32+14,36
8,14,16,26,27,31+1,21
7,8,13,19,23,25+26,32
1,8,13,20,34,38+21,31
15,19,25,29,32,24+13,18
10,11,17,26,30,31+8,18
2,11,14,27,34,40+4,12
6,7,12,15,3032+10,29
4,6,28,30,32,37+26,36
13,16,21,25,37,39+10,38
1,5,7,17,28,34+21,25
4,7,18,23,32,39+3,8
5,9,10,36,37,40+20,35
6,7,24,25,27,30+5,17
9,15,18,21,34,37+2,31
8,17,18,22,27,32+4,20
12,15,23,27,31,37+3,30
1,4,5,9,17,20+6,36
8,11,12,14,18,39+9,15
2,5,21,25,27,32+28,40
5,6,8,9,13,19+3,12
1,3,11,18,25,39+5,35
10,11,20,33,34,35+5,19
1,2,5,10,13,14+4,9
7,10,11,13,21,34+6,31
1,4,19,21,31,33+6,18
1979
4,24,26,29,32,36+5,27
5,12,13,17,18,39+4,6
12,15,23,27,31,37+3,30
1,4,5,9,17,20+6,36
8,11,12,14,18,39+9,15
